dataset,group,scene,crop,method,zone,solver_status,predicted_radius_px,hand_reference_radius_px,absolute_drift_px,normalized_drift,within_one_ring,boundary_available,zone_geometry_available,retained_mask_fraction,parameter_json,evaluation_version
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image99,Image99_obj1_d000439_300_029_2026-06-15_21-23-40,Retuned P100,DenseZone,exact,96.0,164.246765569,68.2467655694,0.421750673205,False,True,True,1.0,"{""maximum_gap"":0,""min_crossings"":5,""min_resultant"":0.15,""min_ring_coherence"":0.15,""minimum_segment"":6,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image99,Image99_obj1_d000439_300_029_2026-06-15_21-23-40,Retuned P100,SparseZone,exact,176.300879181,161.817798774,14.4830804072,0.0895023941554,False,True,True,1.0,"{""maximum_gap"":0,""min_crossings"":5,""min_resultant"":0.15,""min_ring_coherence"":0.15,""minimum_segment"":6,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image99,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Legacy control,CoreZone,legacy,137.607595064,375.968083752,238.360488688,0.659633322862,False,True,True,1.0,"{""intensity_source"":""detect_mat"",""legacy_mode"":true}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image99,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Legacy control,DenseZone,legacy,241.543590342,372.464763434,130.921173092,0.362308237053,False,True,True,1.0,"{""intensity_source"":""detect_mat"",""legacy_mode"":true}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image99,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Legacy control,SparseZone,legacy,329.173356217,361.353012994,32.1796567769,0.0890532405147,False,True,True,1.0,"{""intensity_source"":""detect_mat"",""legacy_mode"":true}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image99,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Corrected fixed P95,CoreZone,exact,144.0,375.968083752,231.968083752,0.64194312877,False,True,True,0.949998574483,"{""maximum_gap"":0,""min_crossings"":3,""min_resultant"":0.3,""min_ring_coherence"":0.15,""minimum_segment"":8,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image99,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Corrected fixed P95,DenseZone,exact,240.0,372.464763434,132.464763434,0.366579933391,False,True,True,0.949998574483,"{""maximum_gap"":0,""min_crossings"":3,""min_resultant"":0.3,""min_ring_coherence"":0.15,""minimum_segment"":8,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image99,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Corrected fixed P95,SparseZone,exact,327.531448829,361.353012994,33.8215641657,0.0935970171811,False,True,True,0.949998574483,"{""maximum_gap"":0,""min_crossings"":3,""min_resultant"":0.3,""min_ring_coherence"":0.15,""minimum_segment"":8,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image99,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Corrected fixed P100,CoreZone,exact,168.0,375.968083752,207.968083752,0.575526081901,False,True,True,1.0,"{""maximum_gap"":0,""min_crossings"":3,""min_resultant"":0.3,""min_ring_coherence"":0.15,""minimum_segment"":8,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image99,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Corrected fixed P100,DenseZone,exact,312.0,372.464763434,60.4647634341,0.167328792786,False,True,True,1.0,"{""maximum_gap"":0,""min_crossings"":3,""min_resultant"":0.3,""min_ring_coherence"":0.15,""minimum_segment"":8,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image99,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Corrected fixed P100,SparseZone,exact,370.753287241,361.353012994,9.40027424677,0.0260141023009,False,True,True,1.0,"{""maximum_gap"":0,""min_crossings"":3,""min_resultant"":0.3,""min_ring_coherence"":0.15,""minimum_segment"":8,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image99,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Retuned P95,CoreZone,exact,168.0,375.968083752,207.968083752,0.575526081901,False,True,True,0.949998574483,"{""maximum_gap"":0,""min_crossings"":5,""min_resultant"":0.15,""min_ring_coherence"":0.15,""minimum_segment"":6,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image99,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Retuned P95,DenseZone,exact,280.0,372.464763434,92.4647634341,0.255884855277,False,True,True,0.949998574483,"{""maximum_gap"":0,""min_crossings"":5,""min_resultant"":0.15,""min_ring_coherence"":0.15,""minimum_segment"":6,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image99,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Retuned P95,SparseZone,exact,327.531448829,361.353012994,33.8215641657,0.0935970171811,False,True,True,0.949998574483,"{""maximum_gap"":0,""min_crossings"":5,""min_resultant"":0.15,""min_ring_coherence"":0.15,""minimum_segment"":6,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image99,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Retuned P100,CoreZone,exact,168.0,375.968083752,207.968083752,0.575526081901,False,True,True,1.0,"{""maximum_gap"":0,""min_crossings"":5,""min_resultant"":0.15,""min_ring_coherence"":0.15,""minimum_segment"":6,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image99,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Retuned P100,DenseZone,exact,328.0,372.464763434,44.4647634341,0.123050761541,False,True,True,1.0,"{""maximum_gap"":0,""min_crossings"":5,""min_resultant"":0.15,""min_ring_coherence"":0.15,""minimum_segment"":6,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image99,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Retuned P100,SparseZone,exact,370.753287241,361.353012994,9.40027424677,0.0260141023009,False,True,True,1.0,"{""maximum_gap"":0,""min_crossings"":5,""min_resultant"":0.15,""min_ring_coherence"":0.15,""minimum_segment"":6,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Legacy control,CoreZone,legacy,72.628940902,244.624201583,171.995260681,0.745883325161,False,True,True,1.0,"{""intensity_source"":""detect_mat"",""legacy_mode"":true}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Legacy control,DenseZone,legacy,141.653228305,243.393200388,101.739972083,0.44121069603,False,True,True,1.0,"{""intensity_source"":""detect_mat"",""legacy_mode"":true}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Legacy control,SparseZone,legacy,212.189205224,230.592714542,18.4035093178,0.0798095870217,False,True,True,1.0,"{""intensity_source"":""detect_mat"",""legacy_mode"":true}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Corrected fixed P95,CoreZone,exact,72.0,244.624201583,172.624201583,0.748610822009,False,True,True,0.950023385699,"{""maximum_gap"":0,""min_crossings"":3,""min_resultant"":0.3,""min_ring_coherence"":0.15,""minimum_segment"":8,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Corrected fixed P95,DenseZone,exact,160.0,243.393200388,83.3932003877,0.361647160246,False,True,True,0.950023385699,"{""maximum_gap"":0,""min_crossings"":3,""min_resultant"":0.3,""min_ring_coherence"":0.15,""minimum_segment"":8,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Corrected fixed P95,SparseZone,exact,217.882996124,230.592714542,12.7097184183,0.0551176061372,False,True,True,0.950023385699,"{""maximum_gap"":0,""min_crossings"":3,""min_resultant"":0.3,""min_ring_coherence"":0.15,""minimum_segment"":8,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Corrected fixed P100,CoreZone,exact,72.0,244.624201583,172.624201583,0.748610822009,False,True,True,1.0,"{""maximum_gap"":0,""min_crossings"":3,""min_resultant"":0.3,""min_ring_coherence"":0.15,""minimum_segment"":8,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Corrected fixed P100,DenseZone,exact,192.0,243.393200388,51.3932003877,0.222874345747,False,True,True,1.0,"{""maximum_gap"":0,""min_crossings"":3,""min_resultant"":0.3,""min_ring_coherence"":0.15,""minimum_segment"":8,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Corrected fixed P100,SparseZone,exact,252.715254783,230.592714542,22.1225402406,0.095937724158,False,True,True,1.0,"{""maximum_gap"":0,""min_crossings"":3,""min_resultant"":0.3,""min_ring_coherence"":0.15,""minimum_segment"":8,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Retuned P95,CoreZone,exact,48.0,244.624201583,196.624201583,0.852690432883,False,True,True,0.950023385699,"{""maximum_gap"":0,""min_crossings"":5,""min_resultant"":0.15,""min_ring_coherence"":0.15,""minimum_segment"":6,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
GanodermaSubsetEven,Ganoderma × glucose/yeast extract,image167,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Retuned P95,DenseZone,exact,96.0,243.393200388,147.393200388,0.639192789244,False,True,True,0.950023385699,"{""maximum_gap"":0,""min_crossings"":5,""min_resultant"":0.15,""min_ring_coherence"":0.15,""minimum_segment"":6,""outer_support_margin"":0.0,""support_weight"":0.5}",method-b-corrected-v2
