dataset,crop,short_crop,variant_key,variant_label,success,detected_pixels,containment,qualitative_recall,q95_enclosure_ratio,group_label,absolute_q95_error
GanodermaSubsetEven,image211_obj1_d000442_300_063_2026-06-16_01-53-04,image211_obj1,local_contrast,Local contrast,True,562769,0.996415936201,0.866762500966,0.936394593153,"Ganoderma | 1% glucose + 1.2% yeast extract, pH 4",0.0636054068473
GanodermaSubsetEven,image211_obj1_d000442_300_063_2026-06-16_01-53-04,image211_obj1,stretch_unsharp,Stretch + unsharp,True,391948,1.0,0.605839709406,0.788309352417,"Ganoderma | 1% glucose + 1.2% yeast extract, pH 4",0.211690647583
GanodermaSubsetEven,image211_obj2_d000442_300_063_2026-06-16_01-53-04,image211_obj2,current_subtraction,Current subtraction,True,42275,1.0,0.531854666231,0.731398196009,"Ganoderma | 1% glucose + 1.2% yeast extract, pH 4",0.268601803991
GanodermaSubsetEven,image211_obj2_d000442_300_063_2026-06-16_01-53-04,image211_obj2,raw,Raw,True,66339,0.999969851822,0.834574642075,0.90869888959,"Ganoderma | 1% glucose + 1.2% yeast extract, pH 4",0.0913011104097
GanodermaSubsetEven,image211_obj2_d000442_300_063_2026-06-16_01-53-04,image211_obj2,local_contrast,Local contrast,True,77363,0.987797784471,0.961414588733,0.988206583767,"Ganoderma | 1% glucose + 1.2% yeast extract, pH 4",0.0117934162329
GanodermaSubsetEven,image211_obj2_d000442_300_063_2026-06-16_01-53-04,image211_obj2,stretch_unsharp,Stretch + unsharp,True,59407,1.0,0.747389477392,0.863226971698,"Ganoderma | 1% glucose + 1.2% yeast extract, pH 4",0.136773028302
GanodermaSubsetEven,image211_obj3_d000442_300_063_2026-06-16_01-53-04,image211_obj3,current_subtraction,Current subtraction,True,40322,1.0,0.53186129028,0.731168272422,"Ganoderma | 1% glucose + 1.2% yeast extract, pH 4",0.268831727578
GanodermaSubsetEven,image211_obj3_d000442_300_063_2026-06-16_01-53-04,image211_obj3,raw,Raw,True,65884,0.999590188817,0.868676875998,0.927605373958,"Ganoderma | 1% glucose + 1.2% yeast extract, pH 4",0.0723946260419
GanodermaSubsetEven,image211_obj3_d000442_300_063_2026-06-16_01-53-04,image211_obj3,local_contrast,Local contrast,True,229,0.890829694323,0.00269083138776,1.08293763408,"Ganoderma | 1% glucose + 1.2% yeast extract, pH 4",0.0829376340826
GanodermaSubsetEven,image211_obj3_d000442_300_063_2026-06-16_01-53-04,image211_obj3,stretch_unsharp,Stretch + unsharp,True,61033,1.0,0.805046627887,0.894483794261,"Ganoderma | 1% glucose + 1.2% yeast extract, pH 4",0.105516205739
