,ObjectLabel,Bbox_CenterRR,Bbox_CenterCC,Bbox_MinRR,Bbox_MinCC,Bbox_MaxRR,Bbox_MaxCC,Grid_RowNum,Grid_ColNum,Grid_SectionNum,Size_Area,Size_IntegratedIntensity
81,82,1281.7024207,825.202420701,1254,801,1313,852,7,4,88,2396.0,996.219787059
82,83,1288.60469826,1306.98015391,1256,1282,1317,1333,7,7,91,2469.0,1036.53873412
83,84,1292.9994522,505.626677623,1257,475,1330,537,7,2,86,3651.0,1613.10983098
84,85,1291.5999424,1791.17741935,1257,1761,1328,1821,7,10,94,3472.0,1438.89617255
85,86,1291.6523937,343.691049658,1258,314,1327,374,7,1,85,3363.0,1449.95952314
86,87,1292.36542353,1150.27609136,1258,1121,1328,1180,7,6,90,3459.0,1511.19160196
87,88,1290.4356564,1467.69367909,1258,1440,1325,1496,7,8,92,3085.0,1338.53914431
88,89,1291.6437409,1630.95633188,1260,1604,1324,1657,7,9,93,2748.0,1099.70614196
89,90,1293.01120633,667.196110745,1261,640,1327,696,7,3,87,3034.0,1297.47614275
90,91,1296.18338202,1947.25933139,1262,1919,1330,1974,7,11,95,3081.0,1196.73396039
0,1,135.543585526,327.092927632,94,297,172,360,0,1,1,3648.0,1477.0307702
1,2,130.042596349,647.235632184,98,619,163,676,0,3,3,2958.0,1168.96885059
2,3,139.26261586,969.183058702,103,936,177,1003,0,5,5,3884.0,1668.24206196
3,4,138.260353228,497.791412911,106,468,173,528,0,2,2,3284.0,1344.79333373
4,5,139.006472492,1614.53559871,108,1590,173,1640,0,9,9,2472.0,1002.29351569
5,6,135.704081633,1918.22278912,110,1899,160,1940,0,11,11,1764.0,681.002346275
6,7,143.590811966,809.095441595,111,781,176,838,0,4,4,2808.0,1148.4437149
7,8,144.197644812,1775.30362826,112,1743,180,1807,0,10,10,3142.0,1297.4371
8,9,143.263817928,1455.01672085,114,1433,175,1478,0,8,8,2153.0,844.73463451
9,10,148.713064713,148.377899878,116,118,183,180,0,0,0,3276.0,1329.07523059
10,11,150.399139953,1295.61923378,120,1270,182,1321,0,7,7,2558.0,1063.51752549
11,12,140.942492013,1133.20686901,123,1113,165,1153,0,6,6,1252.0,451.835746667
12,13,289.400322581,649.135806452,257,621,322,679,1,3,15,3100.0,1300.92706235
13,14,290.486330935,1938.47683453,257,1908,325,1972,1,11,23,3475.0,1554.74841294
14,15,288.2199563,1291.57501821,258,1265,320,1319,1,7,19,2746.0,1221.30255765
15,16,288.705882353,1452.58751793,258,1426,321,1479,1,8,20,2788.0,1193.51494314
16,17,289.956340956,1131.38911989,259,1104,323,1160,1,6,18,2886.0,1268.66031961
17,18,289.365725047,1614.00979284,260,1589,321,1641,1,9,21,2655.0,1132.31206431
18,19,290.539269051,809.789269051,261,784,321,837,1,4,16,2572.0,1099.7060549
19,20,292.056834885,490.208231259,262,466,322,514,1,2,14,2041.0,780.365649804
20,21,291.491544965,328.696387394,263,302,322,356,1,1,13,2602.0,1091.84032941
21,22,290.212094264,971.118719431,263,947,318,996,1,5,17,2249.0,907.517116863
22,23,300.405944319,134.351768247,270,107,331,163,1,0,12,2658.0,1036.78413216
23,24,455.007140539,135.981174943,424,106,487,167,2,0,24,3081.0,1223.18093882
24,25,454.533380431,325.468738961,425,297,486,355,2,1,25,2831.0,1194.04047765
25,26,453.422594142,1773.58284519,425,1749,483,1798,2,10,34,2390.0,985.518488235
26,27,453.935535217,1939.06088341,425,1915,485,1965,2,11,35,2513.0,1039.45609765
27,28,455.411284336,648.543801039,426,622,488,676,2,3,27,2694.0,1129.01165686
28,29,453.850322581,1613.84215054,427,1589,483,1639,2,9,33,2325.0,982.259680784
29,30,454.718544498,1453.08855765,428,1428,483,1478,2,8,32,2281.0,962.418197255
30,31,454.100375738,809.866344605,430,788,480,833,2,4,28,1863.0,746.510777255
31,32,453.94982699,1293.2704729,430,1273,479,1316,2,7,31,1734.0,650.696352941
32,33,454.422192152,1131.79093369,433,1112,477,1152,2,6,30,1478.0,546.150367451
33,34,467.500794071,983.782424563,444,961,493,1007,2,5,29,1889.0,772.980482353
34,35,590.408762887,1121.48505155,565,1098,617,1145,3,6,42,1940.0,767.804181176
35,36,600.573386827,1284.70578402,570,1256,633,1314,3,7,43,2991.0,1239.4887902
36,37,603.85789801,1612.72139303,571,1583,638,1643,3,9,45,3216.0,1370.98422667
37,38,602.318577075,1772.7944664,572,1747,634,1800,3,10,46,2530.0,1049.46934941
38,39,603.946930281,971.633021159,573,943,636,1001,3,5,41,2883.0,1253.91734157
39,40,604.242127362,807.94086774,574,779,636,838,3,4,40,2858.0,1161.05301686
40,41,604.670715693,325.355876559,575,296,637,356,3,1,37,3046.0,1297.76370824
41,42,603.052144659,1935.15433137,575,1910,633,1962,3,11,47,2378.0,1016.14416588
42,43,605.415619694,486.192190153,576,457,637,517,3,2,38,2945.0,1202.06665373
43,44,611.176362523,145.139926516,579,114,645,177,3,0,36,3266.0,1341.96616
44,45,614.81047581,657.606557377,586,631,644,685,3,3,39,2501.0,987.559941176
45,46,628.542245141,1444.87703292,600,1419,659,1472,3,8,44,2521.0,1040.05050549
46,47,775.717995803,1937.15372508,736,1907,814,1970,4,11,59,3812.0,1687.41977922
47,48,778.658424003,810.73821299,748,782,811,840,4,4,52,3033.0,1241.16305216
48,49,779.533639646,1614.64292747,748,1586,813,1644,4,9,57,3047.0,1310.53458196
49,50,779.714983713,1293.2992671,752,1267,809,1320,4,7,55,2456.0,1016.94702
50,51,779.872996301,983.859843814,753,958,809,1010,4,5,53,2433.0,1021.91651373
51,52,780.624329159,490.063953488,755,465,808,517,4,2,50,2236.0,907.093451373
52,53,779.564814815,1132.68409586,756,1110,806,1157,4,6,54,1836.0,659.332420784
53,54,783.355096883,665.5210615,758,639,811,693,4,3,51,2374.0,973.920095294
54,55,790.402318445,1780.92021821,759,1753,823,1809,4,10,58,2933.0,1274.51671529
55,56,780.130733945,130.55733945,763,112,799,155,4,0,48,872.0,269.531642745
56,57,785.24516129,314.012903226,776,305,797,323,4,1,49,310.0,106.639260784
57,58,911.292786421,1927.89731259,872,1901,950,1957,5,11,71,3535.0,1502.96328392
58,59,918.187785388,1453.32077626,884,1422,953,1485,5,8,68,3504.0,1545.09976353
59,60,918.085731063,1613.88167939,884,1583,953,1645,5,9,69,3406.0,1470.3577149
60,61,918.021256643,1774.8508909,885,1746,952,1805,5,10,70,3199.0,1431.92035882
61,62,919.023391813,971.300194932,889,947,950,998,5,5,65,2565.0,1086.41732824
62,63,919.898938625,811.511305953,890,785,949,837,5,4,64,2167.0,874.85592549
63,64,918.161513426,1296.31326282,890,1270,947,1323,5,7,67,2458.0,1032.70591373
64,65,919.156050955,1131.40326433,891,1105,949,1159,5,6,66,2512.0,1080.43423804
65,66,922.174159292,327.694159292,893,299,952,357,5,1,61,2825.0,1193.81661647
