Colony,Ring,RadiusPx,MedianTiltDeg,RingResultant,SectorSupport,AxialMedianCumulativeChangeDeg,RadialPathCumulativeDeg
R3C4,0,45.8844915427,40.3473781561,0.223819457224,1.0,0.0,0.0
R3C4,1,53.8844915427,17.052535609,0.641306298897,0.972222222222,-23.294842547,7.82232429071
R3C4,2,61.8844915427,5.85256490842,0.651218997655,0.888888888889,-34.4948132476,10.255113345
R3C4,3,69.8844915427,27.8120056191,0.628068199174,0.833333333333,-12.5353725369,10.9691189718
R3C4,4,77.8844915427,24.9181793848,0.388993759014,0.916666666667,-15.4291987713,14.2448876579
R3C4,5,85.8844915427,26.4381168664,0.281395528333,0.888888888889,-13.9092612897,16.8474921119
R3C4,6,93.8844915427,33.4631162183,0.222829282764,0.888888888889,-6.88426193773,19.3848131341
R3C4,7,101.884491543,61.4746598273,0.23101930528,0.916666666667,21.1272816712,22.4816330643
R3C4,8,109.884491543,71.7134142046,0.400948205288,0.944444444444,31.3660360485,30.4499146751
R3C4,9,117.884491543,87.4417748148,0.281932994697,0.805555555556,47.0943966588,42.6344666361
R3C4,10,125.884491543,89.4679106622,0.173444305289,0.722222222222,49.1205325061,
R3C4,11,133.884491543,15.2655876398,0.275194556443,0.638888888889,-25.0817905163,
R3C4,12,141.884491543,14.1041577009,0.396439951964,0.5,-26.2432204552,
R3C4,13,149.884491543,31.2716175296,0.220789370105,0.527777777778,-9.07576062648,
R3C4,14,157.884491543,51.9856470386,0.347106088132,0.444444444444,11.6382688826,
R3C4,15,165.884491543,62.3981967224,0.430382307607,0.388888888889,22.0508185664,
R3C4,16,173.884491543,-79.1500711976,0.217927423384,0.361111111111,60.5025506463,
R3C4,17,181.884491543,,0.142560489726,0.305555555556,,
R3C4,18,189.884491543,,0.127376898447,0.166666666667,,
R3C4,19,197.884491543,,,0.0555555555556,,
R3C4,20,205.884491543,,,0.0277777777778,,
R4C6,0,41.746715295,-51.311926423,0.208124271515,0.888888888889,0.0,0.0
R4C6,1,49.746715295,-21.6339984796,0.313580487815,0.75,29.6779279434,-12.5439416869
R4C6,2,57.746715295,-9.51133689802,0.696822504349,0.611111111111,41.800589525,-15.9326416338
R4C6,3,65.746715295,-1.03216024749,0.504758858974,0.638888888889,50.2797661755,-17.1781352432
R4C6,4,73.746715295,3.73799188384,0.549109094071,0.583333333333,55.0499183068,-17.2966676657
R4C6,5,81.746715295,8.17537809278,0.453484232728,0.638888888889,59.4873045158,-16.9111478551
R4C6,6,89.746715295,29.0382071937,0.498253370991,0.638888888889,80.3501336167,-16.1426244285
R4C6,7,97.746715295,26.5156401827,0.534046440553,0.472222222222,77.8275666057,-13.4264666014
R4C6,8,105.746715295,29.5025182402,0.581187839258,0.416666666667,80.8144446632,-11.1776751246
R4C6,9,113.746715295,38.4041417556,0.726437326454,0.361111111111,89.7160681785,-8.81338867867
R4C6,10,121.746715295,41.4837583259,0.787825819604,0.194444444444,92.7956847489,-5.72633504732
R4C6,11,129.746715295,34.4315842429,0.840728310639,0.111111111111,85.7435106659,-2.50212839118
R4C6,12,137.746715295,34.3810143552,0.937117642061,0.0833333333333,85.6929407781,-0.152052560174
R4C6,13,145.746715295,,,0.0277777777778,,
