Colony,TotalRings,ObjectMaskPixels,SkeletonPixels,MaskReliableMeasurementPixels,SkeletonReliableMeasurementPixels,MaskSupportedRings,MaskSupportedFraction,MaskAbsP95Deg,MaskRawPeakDeg,MaskMedianSectorSupport,MaskMedianRingResultant,SkeletonSupportedRings,SkeletonSupportedFraction,SkeletonAbsP95Deg,SkeletonRawPeakDeg,SkeletonMedianSectorSupport,SkeletonMedianRingResultant,CommonRingProfileMAEDeg
R3C4,21,29336,9244,22750,7559,17,0.809523809524,51.3969361342,60.5025506463,0.722222222222,0.281395528333,19,0.904761904762,40.1385067094,43.8708409015,0.666666666667,0.324355639098,12.9901349594
R4C6,14,10902,3257,6951,2265,13,0.928571428571,90.9479148067,92.7956847489,0.527777777778,0.549109094071,13,0.928571428571,72.1756098701,73.0031753807,0.472222222222,0.566185010901,17.0674366583
