Colony,TotalRings,AxialChangeSupportedRings,AxialChangeSupportedFraction,AxialChangeAbsP95Deg,AxialChangeRawPeakDeg,RadialPathSupportedRings,RadialPathSupportedFraction,RadialPathAbsP95Deg,RadialPathRawPeakDeg,ObjectExtentRadiusPx,OuterRingRadiusPx
R3C4,21,17,0.809523809524,51.3969361342,60.5025506463,10,0.47619047619,37.1514182536,42.6344666361,209.246266394,209.884491543
R4C6,14,13,0.928571428571,90.9479148067,92.7956847489,13,0.928571428571,17.2255482122,17.2966676657,144.46106742,149.746715295
