Colony,Policy,PointID,Ring,Status,ParentID,DistancePx,AxialDeltaDeg,PredictionResidualDeg,SignedStepDeg,UnwrappedFiberAxisDeg,CumulativeSignedDeg,CumulativeAbsoluteDeg,NormalizedCost
R3C4,reciprocal_one_to_one,62,1,matched,26.0,8.51036377036,-5.6695472367,-5.6695472367,-5.6695472367,-60.1950952504,-5.6695472367,5.6695472367,0.156166314357
R3C4,reciprocal_one_to_one,63,1,claimed_by_other,,,,,,,,,
R3C4,reciprocal_one_to_one,64,1,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,65,1,matched,27.0,8.70673142882,-7.30151366734,-7.30151366734,-7.30151366734,-65.4059058973,-7.30151366734,7.30151366734,0.212625842728
R3C4,reciprocal_one_to_one,66,1,matched,28.0,8.35348947348,-0.625772248444,-0.625772248444,-0.625772248444,-66.9542566015,-0.625772248444,0.625772248444,0.0740168888246
R3C4,reciprocal_one_to_one,67,1,claimed_by_other,,,,,,,,,
R3C4,reciprocal_one_to_one,68,1,local_ambiguity,,,,,,,,,
R3C4,reciprocal_one_to_one,69,1,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,70,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,71,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,72,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,73,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,74,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,75,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,76,2,matched,38.0,7.41827470013,-8.82570115727,-16.7974271917,-8.82570115727,-53.379111861,-0.853975122802,16.7974271917,0.252331948747
R3C4,reciprocal_one_to_one,77,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,78,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,79,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,80,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,81,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,82,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,83,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,84,2,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,85,2,no_candidate,,,,,,,,,
